[30, 34],	50,	black,		1
[13, 18],	25,	red,		2
[36, 42],	50,	black,		2
[6, 15],	22,	black,		3
[18, 23],	25,	black,		3
[32, 43],	43,	red,		3
[43, 45],	50,	red,		3
[2, 17],	17,	black,		4
[9, 18],	22,	red,		4
[15, 16],	25,	red,		4
[21, 24],	25,	black,		4
[31, 40],	40,	black,		4
[34, 43],	43,	black,		4
[38, 43],	50,	black,		4
[48, 49],	49,	black,		4
[0, 1],	1,	red,		5
[4, 15],	15,	red,		5
[8, 13],	14,	black,		5
[11, 22],	22,	black,		5
[14, 22],	22,	black,		5
[17, 18],	25,	black,		5
[19, 24],	24,	red,		5
[24, 25],	25,	red,		5
[33, 37],	37,	red,		5
[42, 50],	50,	red,		5
[45, 46],	46,	red,		5
[7, 14],	14,	red,		6
[10, 17],	17,	red,		6
[16, 25],	25,	red,		6
